Br,Btheta
-2.8621670111997335e-07,-8.58650103359919e-07
-3.4533568519718785e-07,-9.243350161407194e-07
-4.1615333469328916e-07,-9.955830381244007e-07
-5.010200441727795e-07,-1.0723748954663191e-06
-6.02753869905049e-07,-1.1544295127057907e-06
-7.247148569503225e-07,-1.2410687233665914e-06
-8.70875497090686e-07,-1.3310267024653484e-06
-1.0458733064874742e-06,-1.4221849966339867e-06
-1.2550207593791214e-06,-1.5112098453202103e-06
-1.5042309434941739e-06,-1.5930657844747999e-06
-1.7997918951628735e-06,-1.6603814009354675e-06
-2.1478863510002303e-06,-1.702655529652497e-06
-2.553706161111296e-06,-1.7053257135532544e-06
-3.019957081431594e-06,-1.6487923468641462e-06
-3.5445086905487173e-06,-1.5076253665133342e-06
-4.116960530824571e-06,-1.2504010744614525e-06
-4.714056588468333e-06,-8.409326819738754e-07
-5.294324153022731e-06,-2.42014259222789e-07
-5.793195862808182e-06,5.770055159046272e-07
-6.121230748913264e-06,1.6278995463142928e-06
-6.169493204073383e-06,2.8872009002468414e-06
-5.826485831305833e-06,4.279845233686228e-06
-5.008298880530517e-06,5.671177164691647e-06
-3.6964439642711934e-06,6.878005109287817e-06
-1.968245138412972e-06,7.705044063501688e-06
5.695226596671781e-21,8e-06
1.968245138413001e-06,7.705044063501681e-06
3.696443964271202e-06,6.878005109287813e-06
5.008298880530523e-06,5.6711771646916394e-06
5.82648583130584e-06,4.279845233686223e-06
6.169493204073386e-06,2.887200900246835e-06
6.121230748913267e-06,1.6278995463142854e-06
5.793195862808184e-06,5.770055159046214e-07
5.2943241530227286e-06,-2.420142592227954e-07
4.71405658846833e-06,-8.409326819738807e-07
4.116960530824571e-06,-1.2504010744614557e-06
3.5445086905487173e-06,-1.5076253665133376e-06
3.0199570814315916e-06,-1.6487923468641485e-06
2.553706161111293e-06,-1.7053257135532565e-06
2.1478863510002282e-06,-1.702655529652499e-06
1.7997918951628737e-06,-1.6603814009354692e-06
1.5042309434941705e-06,-1.593065784474805e-06
1.2550207593791204e-06,-1.511209845320212e-06
1.0458733064874731e-06,-1.4221849966339878e-06
8.70875497090685e-07,-1.3310267024653499e-06
7.247148569503212e-07,-1.2410687233665925e-06
6.027538699050465e-07,-1.154429512705793e-06
5.010200441727789e-07,-1.0723748954663196e-06
4.1615333469328805e-07,-9.955830381244011e-07
3.4533568519718685e-07,-9.243350161407201e-07
2.8621670111997235e-07,-8.586501033599193e-07
2.3684284566263535e-07,-7.983807014164623e-07
1.9559361408618502e-07,-7.432781798136652e-07
1.6112588979944868e-07,-6.930379613048524e-07
1.3232646520879945e-07,-6.473299247162186e-07
1.0827210313163503e-07,-6.058185016449336e-07
8.819626101103596e-08,-5.681755959338439e-07
7.146154201560685e-08,-5.340885487068153e-07
5.753698017309338e-08,-5.032647195629804e-07
4.597935631653686e-08,-4.7543378820512204e-07
3.641784716805897e-08,-4.503485490093374e-07
2.8541415006650632e-08,-4.2778473594425047e-07
2.2088442068435538e-08,-4.0754024922754895e-07
1.6838198852685263e-08,-3.8943403826058487e-07
1.2603808175178111e-08,-3.733048134409595e-07
9.226427758082545e-09,-3.590097022376424e-07
6.57042459844069e-09,-3.4642292518075325e-07
4.519355730258428e-09,-3.354345400273903e-07
2.972603680162583e-09,-3.2594928367158656e-07
1.842542181069657e-09,-3.178855287906676e-07
1.0521296551496316e-09,-3.111743639370413e-07
5.328455378552601e-10,-3.0575880050431457e-07
2.2289845781804607e-10,-3.015931068091851e-07
6.564623627995715e-11,-2.986422677934532e-07
8.176120123791625e-12,-2.968815681104361e-07
-1.0885749325754253e-22,-2.962962962962963e-07
-8.176120124267441e-12,-2.9688156811043607e-07
-6.564623628043761e-11,-2.9864226779345324e-07
-2.2289845781850944e-10,-3.015931068091849e-07
-5.328455378557349e-10,-3.0575880050431457e-07
-1.0521296551506778e-09,-3.111743639370412e-07
-1.8425421810701677e-09,-3.178855287906678e-07
-2.972603680163086e-09,-3.2594928367158656e-07
-4.51935573025891e-09,-3.3543454002739044e-07
-6.570424598441248e-09,-3.4642292518075315e-07
-9.226427758083124e-09,-3.5900970223764225e-07
-1.2603808175178669e-08,-3.7330481344095956e-07
-1.6838198852686537e-08,-3.8943403826058455e-07
-2.2088442068436177e-08,-4.07540249227549e-07
-2.854141500665126e-08,-4.2778473594425063e-07
-3.6417847168059916e-08,-4.503485490093375e-07
-4.5979356316537594e-08,-4.7543378820512194e-07
-5.753698017309494e-08,-5.032647195629797e-07
-7.146154201560752e-08,-5.340885487068151e-07
-8.81962610110368e-08,-5.681755959338439e-07
-1.0827210313163503e-07,-6.058185016449345e-07
-1.323264652088004e-07,-6.473299247162185e-07
-1.6112588979944931e-07,-6.930379613048523e-07
-1.955936140861861e-07,-7.432781798136653e-07
-2.368428456626361e-07,-7.983807014164619e-07
