Br,Btheta
1.6839003937154838e-09,1.0825854867477087e-09
1.789849035661e-09,7.578133359707458e-10
1.8349622452725963e-09,4.272564437317289e-10
1.8202592861386614e-09,1.0212192297966525e-10
1.7487962313514183e-09,-2.068985498738365e-10
1.6255179484992577e-09,-4.899947086954841e-10
1.4570450497187473e-09,-7.385675948415068e-10
1.2514039421786322e-09,-9.45511955737161e-10
1.0177100943760307e-09,-1.105441476079836e-09
7.658162469445912e-10,-1.214849264045365e-09
5.059384865093023e-10,-1.2721983689910431e-09
2.482738263203446e-10,-1.2779396397368138e-09
2.6231728631964708e-12,-1.2344568532353343e-09
-2.2196670421867367e-10,-1.1459416585416829e-09
-4.1752933039212287e-10,-1.0182033972315556e-09
-5.774611524562781e-10,-8.584211892365498e-10
-6.967505965504952e-10,-6.748477290637539e-10
-7.721455026553592e-10,-4.764759489848432e-10
-8.022531468707931e-10,-2.726810113339596e-10
-7.875695331119552e-10,-7.285094586916818e-11
-7.304372214814031e-10,1.1398038064127972e-10
-6.349335681322934e-10,2.794843992149942e-10
-5.066937871685668e-10,4.163601289842427e-10
-3.52675617940018e-10,5.186157565244616e-10
-1.8087450534448924e-10,5.817991489990157e-10
-3.175403582744395e-22,6.031688313238704e-10
1.8087450534365058e-10,5.817991489991746e-10
3.5267561793938773e-10,5.186157565245413e-10
5.066937871677547e-10,4.163601289845052e-10
6.349335681317044e-10,2.794843992152547e-10
7.304372214808996e-10,1.1398038064144324e-10
7.875695331113645e-10,-7.285094586893442e-11
8.022531468701674e-10,-2.726810113335483e-10
7.721455026548023e-10,-4.764759489845373e-10
6.967505965498692e-10,-6.74847729063357e-10
5.774611524558499e-10,-8.584211892362386e-10
4.1752933039163333e-10,-1.0182033972311507e-09
2.2196670421821047e-10,-1.145941658541248e-09
-2.6231728636316494e-12,-1.234456853234871e-09
-2.48273826319765e-10,-1.2779396397338605e-09
-5.059384865110836e-10,-1.2721983689884112e-09
-7.65816246947457e-10,-1.2148492640448011e-09
-1.017710094376295e-09,-1.1054414760791354e-09
-1.251403942180278e-09,-9.45511955738637e-10
-1.457045049720503e-09,-7.385675948431125e-10
-1.625517948499454e-09,-4.899947086948795e-10
-1.7487962313515763e-09,-2.0689854987322124e-10
-1.8202592861387606e-09,1.0212192298018538e-10
-1.834962245272584e-09,4.2725644373247777e-10
-1.7898490356610396e-09,7.578133359713803e-10
-1.6839003937153775e-09,1.0825854867482387e-09
-1.5182109870561313e-09,1.3902396226409128e-09
-1.2959922782484639e-09,1.669715211764175e-09
-1.0225003882367446e-09,1.9106188964100087e-09
-7.048908750810002e-10,2.1036004410448118e-09
-3.520049429172858e-10,2.2406967579776464e-09
2.5905955352083426e-11,2.3156316283854533e-09
4.1750794773679094e-10,2.3240602333871734e-09
8.107539373969813e-10,2.263749496399512e-09
1.1932815842915626e-09,2.134687447913349e-09
1.5528264259225283e-09,1.9391172797174203e-09
1.877635894663803e-09,1.6814943712616374e-09
2.1568698936960373e-09,1.368367254033659e-09
2.3809740005459023e-09,1.008186136398928e-09
2.5420122634191835e-09,6.110451475198762e-10
2.633947909571587e-09,1.8836678581439963e-10
2.6528620500322535e-09,-2.474609074551179e-10
2.59710257937475e-09,-6.83482256327619e-10
2.467357859354349e-09,-1.1065934964790913e-09
2.2666523573489238e-09,-1.5039697313457434e-09
2.0002640948468343e-09,-1.863484778118607e-09
1.6755664540244383e-09,-2.174109596006249e-09
1.301799497837919e-09,-2.42627569778669e-09
8.897783903423504e-10,-2.612191126108986e-09
4.515486746050479e-10,-2.726098187482458e-09
3.1814517904130956e-22,-2.7644641230460938e-09
-4.515486746056182e-10,-2.726098187484756e-09
-8.897783903431689e-10,-2.6121911261112305e-09
-1.3017994978372962e-09,-2.4262756977868083e-09
-1.6755664540237479e-09,-2.1741095960065353e-09
-2.00026409484633e-09,-1.8634847781187717e-09
-2.2666523573483534e-09,-1.5039697313460253e-09
-2.467357859353657e-09,-1.1065934964793579e-09
-2.597102579374219e-09,-6.834822563279701e-10
-2.652862050031717e-09,-2.4746090745545695e-10
-2.6339479095708707e-09,1.8836678581394618e-10
-2.5420122634186938e-09,6.110451475194727e-10
-2.3809740005453667e-09,1.0081861363985702e-09
-2.1568698936956738e-09,1.3683672540332742e-09
-1.8776358946635196e-09,1.6814943712610476e-09
-1.5528264259222154e-09,1.9391172797169935e-09
-1.1932815842912212e-09,2.1346874479128134e-09
-8.107539373966286e-10,2.263749496398981e-09
-4.175079477364714e-10,2.3240602333866213e-09
-2.5905955352024787e-11,2.3156316283850207e-09
3.520049429175672e-10,2.2406967579769573e-09
7.048908750812617e-10,2.1036004410442224e-09
1.022500388237052e-09,1.9106188964095285e-09
1.2959922782486233e-09,1.6697152117633407e-09
1.5182109870563365e-09,1.3902396226401828e-09
