Br,Btheta
125219.80673998813,-107331.26291998995
139607.8377268439,-115541.87701759009
155995.88486810907,-124447.87976555015
174721.50055191974,-134046.86193329
196179.58919551878,-144303.68908822406
220829.14148459036,-155133.59042082404
249198.21642469466,-166378.3378081688
281884.9134140652,-177773.12457924854
319550.56549956626,-188901.2306650266
362899.0807627063,-199133.2230593501
412632.9814068212,-207547.6751169332
469372.0120455138,-212831.94120656213
533514.2734064999,-213165.71419415655
605013.5673202226,-206099.0433580185
683042.72583066,-188453.17081416762
765517.3263799222,-156300.13430768234
848479.0222562376,-105116.58524673518
925400.6195860413,-30251.782402847828
986595.1585645177,72125.68948807835
1019090.2496487228,203487.44328928637
1007511.1464573046,360900.1125308546
936540.5940202315,534980.654210778
795133.1182600858,708897.1455864558
581684.4701069217,859750.6386609765
308085.01321226655,963130.5079377104
-9.87758344710421e-10,999999.9999999999
-308085.01321226655,963130.5079377098
-581684.4701069224,859750.6386609762
-795133.1182600871,708897.1455864552
-936540.5940202316,534980.6542107774
-1007511.1464573041,360900.1125308543
-1019090.2496487234,203487.44328928538
-986595.1585645181,72125.68948807787
-925400.6195860414,-30251.782402848356
-848479.0222562366,-105116.58524673541
-765517.3263799222,-156300.13430768234
-683042.7258306601,-188453.1708141676
-605013.5673202225,-206099.04335801888
-533514.2734064995,-213165.71419415678
-469372.0120455135,-212831.9412065622
-412632.98140682117,-207547.67511693318
-362899.08076270635,-199133.22305935004
-319550.56549956655,-188901.2306650262
-281884.9134140651,-177773.1245792484
-249198.21642469466,-166378.33780816878
-220829.14148459057,-155133.59042082386
-196179.58919551884,-144303.68908822397
-174721.5005519199,-134046.8619332899
-155995.8848681091,-124447.87976554997
-139607.83772684404,-115541.87701758984
-125219.80673998823,-107331.26291998981
-112544.40212253759,-99797.5876770577
-101337.4545355682,-92909.7724767081
-91391.66468950851,-86629.74516310653
-82530.98045968665,-80916.24058952727
-74605.72067037574,-75727.31270561667
-67488.4037909002,-71021.94949173044
-61070.21169456155,-66761.06858835187
-55258.00925936035,-62908.08994537252
-49971.84139209697,-59429.22352564021
-45142.83495488191,-56293.56862616716
-40711.4411223877,-53473.091993031325
-36625.962255022874,-50942.53115344356
-32841.315570232226,-48679.25478257305
-29317.99331939183,-46663.101680119944
-26021.185678822294,-44876.21277970523
-22920.038129400327,-43302.86564759414
-19987.019791002916,-41929.317503423794
-17197.38308773016,-40743.660458948296
-14528.698348414511,-39735.69109883344
-11960.449591677283,-38896.79549213014
-9473.679893819652,-38219.85006303931
-7050.676467435704,-37699.138351148125
-4674.686952946345,-37330.28347418164
-2329.659496746898,-37110.19601380453
-1.3607186657192815e-11,-37037.037037037044
2329.6594967468372,-37110.19601380452
4674.686952946285,-37330.28347418164
7050.676467435644,-37699.138351148125
9473.679893819697,-38219.850063039325
11960.44959167716,-38896.79549213016
14528.69834841445,-39735.691098833464
17197.383087730104,-40743.660458948325
19987.01979100285,-41929.31750342382
22920.038129400364,-43302.865647594146
26021.185678822247,-44876.21277970529
29317.99331939187,-46663.101680119944
32841.31557023216,-48679.25478257305
36625.96225502283,-50942.53115344362
40711.44112238776,-53473.09199303133
45142.83495488198,-56293.56862616725
49971.84139209707,-59429.22352564024
55258.00925936027,-62908.08994537254
61070.211694561476,-66761.06858835195
67488.4037909002,-71021.94949173048
74605.72067037575,-75727.31270561682
82530.98045968662,-80916.24058952741
91391.66468950834,-86629.74516310662
101337.4545355681,-92909.77247670827
112544.40212253745,-99797.58767705783
