Br,Btheta
7.428326163231918e-06,-1.7704408425411877e-10
7.064872574561919e-06,1.9098104387186374e-06
6.0098274888194385e-06,3.632893060386496e-06
4.366445952440096e-06,5.000378341563636e-06
2.2955935986846724e-06,5.878376209858013e-06
-1.571148326106994e-18,6.180916967166461e-06
-2.295593598685837e-06,5.878376209860059e-06
-4.366445952440603e-06,5.000378341564139e-06
-6.009827488819151e-06,3.632893060385647e-06
-7.064872574562733e-06,1.9098104387182254e-06
-7.428326163235083e-06,-1.7704408470373672e-10
-7.064643433385312e-06,-1.9100969020629385e-06
-6.0094567306066545e-06,-3.633002479646197e-06
-4.36607519422249e-06,-5.000268922299242e-06
-2.2953644575060617e-06,-5.87808974651084e-06
-1.1393415407082105e-18,-6.1805628789931664e-06
2.295364457505742e-06,-5.87808974651018e-06
4.366075194219367e-06,-5.000268922299881e-06
6.009456730601347e-06,-3.633002479646964e-06
7.064643433382267e-06,-1.9100969020676645e-06
7.42832616323102e-06,-1.770440841282464e-10
7.064872574561415e-06,1.90981043871873e-06
6.009827488819448e-06,3.6328930603865255e-06
4.366445952439437e-06,5.0003783415636645e-06
2.295593598684279e-06,5.878376209858116e-06
-1.3000486397255382e-18,6.180916967166313e-06
-2.2955935986863368e-06,5.87837620985993e-06
-4.366445952442039e-06,5.00037834156383e-06
-6.009827488819345e-06,3.632893060384742e-06
-7.064872574563311e-06,1.9098104387183223e-06
-7.42832616323499e-06,-1.7704408511786922e-10
-7.064643433385825e-06,-1.9100969020636894e-06
-6.009456730606494e-06,-3.633002479646698e-06
-4.366075194222674e-06,-5.000268922300041e-06
-2.29536445750566e-06,-5.878089746511261e-06
-1.6261540993302034e-18,-6.180562878993837e-06
2.295364457505422e-06,-5.8780897465105935e-06
4.3660751942197695e-06,-5.000268922300555e-06
6.009456730601738e-06,-3.6330024796476164e-06
7.064643433381912e-06,-1.9100969020683565e-06
7.428326163231575e-06,-1.7704408503982566e-10
7.064872574561219e-06,1.909810438717778e-06
6.009827488819132e-06,3.632893060386131e-06
4.366445952439398e-06,5.000378341563391e-06
2.295593598684601e-06,5.878376209857295e-06
-1.6570026058867404e-18,6.180916967165526e-06
-2.295593598685785e-06,5.8783762098592945e-06
-4.3664459524408545e-06,5.000378341563271e-06
-6.009827488818964e-06,3.6328930603844803e-06
-7.064872574563298e-06,1.909810438718118e-06
-7.428326163234954e-06,-1.7704408576961268e-10
-7.064643433384628e-06,-1.910096902064249e-06
-6.009456730606127e-06,-3.6330024796474144e-06
-4.366075194221981e-06,-5.00026892230069e-06
-2.2953644575060736e-06,-5.878089746511855e-06
-1.4632961804605352e-18,-6.180562878994135e-06
2.295364457505687e-06,-5.8780897465109036e-06
4.366075194219834e-06,-5.0002689223008245e-06
6.009456730601524e-06,-3.6330024796482046e-06
7.064643433382626e-06,-1.910096902068584e-06
7.428326163232248e-06,-1.7704408502858174e-10
7.064872574561851e-06,1.909810438718163e-06
6.009827488819946e-06,3.632893060385676e-06
4.366445952439877e-06,5.000378341563163e-06
2.295593598684556e-06,5.878376209857162e-06
-7.825328847846662e-19,6.180916967165973e-06
-2.2955935986852407e-06,5.878376209859382e-06
-4.366445952440466e-06,5.000378341563127e-06
-6.0098274888189515e-06,3.6328930603840623e-06
-7.064872574562619e-06,1.9098104387178446e-06
-7.428326163234959e-06,-1.7704408575873852e-10
-7.06464343338503e-06,-1.9100969020639994e-06
-6.009456730605929e-06,-3.633002479646926e-06
-4.366075194221814e-06,-5.000268922300559e-06
-2.2953644575050673e-06,-5.878089746511949e-06
-8.662263870064002e-19,-6.18056287899401e-06
2.295364457506249e-06,-5.878089746510395e-06
4.3660751942201185e-06,-5.000268922300129e-06
6.0094567306020416e-06,-3.6330024796476227e-06
7.0646434333823324e-06,-1.9100969020684035e-06
7.4283261632319e-06,-1.7704408464793677e-10
7.064872574562297e-06,1.909810438718202e-06
6.009827488819681e-06,3.632893060386114e-06
4.366445952439751e-06,5.000378341563395e-06
2.2955935986848638e-06,5.878376209857567e-06
-1.0352445367287206e-18,6.180916967165956e-06
-2.2955935986859213e-06,5.878376209859421e-06
-4.366445952440649e-06,5.000378341563293e-06
-6.009827488819165e-06,3.632893060384849e-06
-7.064872574562225e-06,1.9098104387182787e-06
-7.428326163235085e-06,-1.770440848051494e-10
-7.064643433384891e-06,-1.910096902063596e-06
-6.009456730605962e-06,-3.633002479646437e-06
-4.366075194221942e-06,-5.0002689222996565e-06
-2.2953644575058513e-06,-5.878089746511083e-06
-9.902803037328926e-19,-6.180562878993618e-06
2.295364457505613e-06,-5.878089746510183e-06
4.366075194220195e-06,-5.000268922300149e-06
6.0094567306016324e-06,-3.633002479647329e-06
7.064643433382133e-06,-1.9100969020677738e-06
